site,loc,lat,long,region
POR,POR,24.749,-110.674,Central
BSS,BSS,24.809,-110.525,Central
ANI,ANI,25.114,-110.508,Central
SDI,SDI,25.204,-110.695,Central
SCR,SCR,25.313,-110.689,Central
MAT,MAT,25.379,-110.993,Central
CAT,CAT,25.715,-110.776,Central
MON,MON,25.744,-111.049,Central
DAN,DAN,25.813,-111.255,Central
CAR,CAR,26.017,-111.169,Central
COR,COR,26.174,-111.262,Central
PUL,PUL,26.515,-111.443,Central
ILD,ILD,26.625,-111.427,Central
SMAR,SMAR,27.26,-112.089,Central
TOR,TOR,27.431,-111.062,Central
NOL,NOL,27.966,-111.371,Central
PMA,PMA,28.382,-112.296,North
FRA,FRA,28.441,-112.268,North
LOR,LOR,28.585,-112.759,North
IA-I,IA-I,29.555,-113.559,North
LOB,LOB,30.222,-112.966,North
PAT,PAT,29.266,-112.464,North
TIB,TIB,29.065,-112.506,North
EST,EST,28.722,-112.613,North
