,Abudefduf troschelii,Acanthurus nigricans,Acanthurus triostegus triostegus,Acanthurus xanthopterus,Alphestes immaculatus,Anisotremus davidsonii,Anisotremus interruptus,Anisotremus taeniatus,Apogon pacificus,Apogon retrosella,Arothron meleagris,Aulostomus chinensis,Balistes polylepis,Bodianus diplotaenia,Calamus brachysomus,Canthigaster punctatissima,Carangoides orthogrammus,Caranx caballus,Caranx sp,Cephalopholis colonus,Cephalopholis panamensis,Chaenopsis alepidota,Chaetodon humeralis,Chromis atrilobata,Chromis limbaughi,Cirrhitichthys oxycephalus,Cirrhitus rivulatus,Coryphopterus urospilus,Crocodilichthys gracilis,Diodon holocanthus,Elops affinis,Epinephelus labriformis,Fistularia commersonii,Girella simplicidens,Gnathanodon speciosus,Gymnothorax castaneus,Haemulon maculicauda,Haemulon scudderii,Haemulon sexfasciatum,Haemulon steindachneri,Halichoeres chierchiae,Halichoeres dispilus,Halichoeres melanotis,Halichoeres nicholsi,Halichoeres notospilus,Halichoeres semicinctus,Holacanthus passer,Hoplopagrus guentherii,Johnrandallia nigrirostris,Kyphosus azurea,Kyphosus elegans,Kyphosus ocyurus,Kyphosus vaigiensis,Labrisomus xanti,Lutjanus argentiventris,Lutjanus guttatus,Lutjanus novemfasciatus,Lutjanus viridis,Lythrypnus dalli,Malacoctenus sp,Microlepidotus inornatus,Microspathodon bairdii,Microspathodon dorsalis,Mulloidichthys dentatus,Muraena lentiginosa,Mycteroperca jordani,Mycteroperca prionura,Mycteroperca rosacea,Myripristis leiognathus,Neoniphon suborbitalis,Nicholsina denticulata,Ophioblennius steindachneri,Paralabrax maculatofasciatus,Paralabrax sp,Pareques sp,Plagiotremus azaleus,Pomacanthus zonipectus,Prionurus punctatus,Pseudobalistes naufragium,Rypticus bicolor,Scarus compressus,Scarus ghobban,Scarus perrico,Scarus rubroviolaceus,Scorpaena mystes,Semicossyphus pulcher,Seriola lalandi,Serranus psittacinus,Sphoeroides annulatus,Sphyraena lucasana,Stegastes acapulcoensis,Stegastes flavilatus,Stegastes rectifraenum,Sufflamen verres,Synodus lacertinus,Thalassoma lucasanum,Trachinotus rhodopus,Zanclus cornutus,Thalassoma lucasanum,Tigrigobius digueti,Tigrigobius puncticulatus,Trachinotus rhodopus,Zanclus cornutus
POR,5,0,0,0,0,0,0,0,0,1,0,0,2,1,3,5,0,0,0,0,1,0,1,1,0,2,0,0,0,1,0,1,0,0,1,1,0,0,4,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,5,1,0,0,2,19,1,1,17,0,0,17,0,0,0,0
BSS,0,0,0,6,0,0,0,0,0,0,1,0,1,5,0,0,0,155,0,273,1,0,0,8,0,6,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,18,0,0,18,0,0,0,0
ANI,0,0,0,0,0,0,2,0,0,0,1,0,0,6,0,6,0,0,0,62,1,0,0,83,1,17,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,6,0,16,0,0,0,0,0,6,0,0,3,0,0,0,0,2,1,5,0,0,1,0,2,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,3,0,14,0,0,104,0,0,0,0
SDI,39,0,0,1,0,0,1,0,0,0,1,1,1,1,0,5,0,0,0,30,1,0,0,20,2,3,0,0,0,1,42,1,1,0,0,1,0,0,1,0,2,1,0,0,0,0,3,0,6,0,1,0,3,0,4,0,1,2,0,0,0,1,3,2,0,0,0,1,1,1,0,1,0,0,0,1,1,8,0,0,1,1,1,1,0,0,0,2,0,0,0,1,16,2,0,29,0,0,29,0,0,0,0
SCR,11,0,0,0,0,0,0,0,0,0,1,0,3,4,0,5,0,0,0,43,1,0,0,16,0,1,0,0,0,1,8,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,5,0,1,0,1,0,2,0,1,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,30,1,1,1,1,1,1,0,0,0,2,0,0,0,1,18,2,0,4,0,0,31,0,0,0,0
MAT,35,0,0,0,1,0,1,2,0,0,0,0,14,3,1,5,0,1,2,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,3,0,0,0,0,1,2,0,0,1,0,1,0,3,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,19,1,0,2,0,0,20,0,0,0,0
CAT,0,1,0,0,0,0,2,0,0,0,0,0,1,3,0,3,0,0,0,28,2,0,0,0,1,1,1,0,0,1,2,1,1,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,6,0,1,0,2,0,6,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,1,3,2,0,19,0,0,19,0,0,0,0
MON,50,1,0,1,1,0,0,0,0,0,0,0,2,4,0,5,0,1,0,35,2,0,0,25,0,2,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,2,0,1,0,1,4,0,2,0,1,0,1,0,3,0,0,24,0,0,0,1,4,6,0,0,0,1,1,4,0,0,0,0,0,0,1,7,0,0,2,3,1,4,0,0,0,1,0,0,3,1,14,1,0,26,1,0,26,0,0,1,0
DAN,65,0,0,0,1,0,1,0,0,0,0,0,1,5,1,6,0,0,0,6,2,0,0,5,26,0,0,0,0,1,0,1,0,0,0,1,0,0,4,0,0,1,0,1,0,0,2,1,1,0,1,0,1,0,4,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,9,0,0,12,0,0,12,0,0,0,0
CAR,50,1,1,1,1,0,1,0,0,0,0,0,2,2,1,5,0,1,2,1,4,0,0,6,1,1,0,0,0,1,0,1,1,0,0,1,0,0,2,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,5,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,1,2,0,0,1,1,2,0,1,0,0,2,0,0,0,0,17,1,0,10,0,0,10,0,0,0,0
